Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
Acne, pus_filled_pimples, blackheads, scurring,"","","","","","","","","","","","","",""
Acne, skin_rash, blackheads, scurring,"","","","","","","","","","","","","",""
Acne, skin_rash, pus_filled_pimples, blackheads,"","","","","","","","","","","","","",""
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,"","","","","","","","","","","","",""
Acne, skin_rash, pus_filled_pimples, scurring,"","","","","","","","","","","","","",""
Allergy, continuous_sneezing, chills, watering_from_eyes,"","","","","","","","","","","","","",""
Allergy, continuous_sneezing, shivering, chills,"","","","","","","","","","","","","",""
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"","","","","","","","","","","","",""
Allergy, continuous_sneezing, shivering, watering_from_eyes,"","","","","","","","","","","","","",""
Allergy, shivering, chills, watering_from_eyes,"","","","","","","","","","","","","",""
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,"","","","","","","","","","","",""
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,"","","","","","","","","","","",""
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,"","","","","","","","","","","",""
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,"","","","","","","","","","",""
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,"","","","","","","","","","","",""
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,"","","","","","","","","","","",""
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,"","","","","","","","","","","",""
Common Cold, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,""
